OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,42,43,44,45,46,48,49,50,51,53,54,56,57,58,61,62,71,72,81,82,83,84,85,90,91,92,93,95,96,97,99,100,101,102,103,104,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,155,156,157,158,159,161,166,167,171,172,173,174,177,178,179,180,181,182,183,184,185
k__Archaea;p__Euryarchaeota;c__Methanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Fusobacteria;c__Fusobacteria (class),0,0,1,0,0,0,0,0,1,1,2,0,1,99,32,11,0,14,48,3,0,921,10,8,21,4,1,0,14,5,1,2,4,22,1,1,0,10,2,5,0,0,6,1,34,7,6,17,3,1,45,1,0,0,0,0,0,1,0,2,0,1,0,0,0,4,0,40,0,1,0,0,0,2,1,0,0,100,6,0,28,1,46,85,13,0,0,0,3,1,19,1,3,0,190,0,1,1,0,103,1,7,120,1,1,56,3,5,0,0,40,0,0,1,2,3,1,0,0,0,44,1,7,11,0,5,0,0,1,1
k__Bacteria;p__OP10;c__CH21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,3,0,2,1,0,1,15,10,2,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,1,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,313,1,0,0,0,0,0,0,0,0,592,513,401,154,1040,1330,89,152,391,331,573,109,581,818,453,2072,902,791,286,110,429,851,888,914,673,600,1068,551,1233,322,396,1887,751,423,306,292,163,276,1171,923,856,1002,776,474,617,595,244,954,269,511,529,269,367,737,1310,757,289,153,244,233,313,134,217,133,354,638,1123,286,357,282,1318,160,393,253,920,471,382,436,766,150,283,464,598,518,631,1333,728,510,323,272,123,96,155,417,639,371,1476,1126,446
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,292,463,349,248,290,540,296,184,201,304,266,404,323,242,68,133,157,256,162,146,292,307,1021,82,188,125,299,320,254,225,196,56,161,115,111,326,412,164,152,193,503,183,260,219,200,165,215,137,169,502,652,110,42,110,154,179,190,289,251,76,217,146,215,288,270,190,123,215,41,10,208,75,133,346,132,78,349,929,478,58,831,281,219,162,349,125,194,116,341,131,390,465,527,191,418,143,244,246,555,847,330,975,317,185,333,335,194,575,183,124,622,273,724,530,509,543,137,441,504,314,265,312,872,227,466,471,119,171,372,309
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,1,0,0,1,0,1,0,0,0,4,3,0,1,6,3,4,1,3,27,0,0,24,5,10,1,1,1,2,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,3,3,5,0,13,2,1,0,0,0,1,0,0,6,0,13,0,1,1,0,0,6,1,0,0,0,1,0,0,0,1,0,0,22,7,0,1,0,2,53,7,0,1,0,1,1,4,0,0,0,34,0,0,0,0,25,0,0,5,0,7,14,1,2,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,4,0,7,0,0,3,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,4709,2147,1737,4807,986,1869,956,303,2246,171,359,477,1651,1424,207,3478,260,661,1071,124,168,1561,1293,621,4621,463,278,989,29,1609,757,369,686,1604,10019,1981,5789,8843,3232,4264,5244,771,2147,2207,301,406,80,165,115,271,3643,63,471,36,4,5,1,14,11,47,0,14,37,51,6,152,106,730,12,11,395,124,84,63,756,1,12,1240,21,12,1849,12,3529,38,26,22,166,11,50,0,70,3,37,1,60,16,12,4,1333,119,223,163,129,94,151,11,18,66,5,33,398,5,0,7,117,27,2,0,126,9,13,95,240,201,1,32,6,13,42,23
k__Bacteria;p__Synergistetes;c__Synergistia,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__TM7;c__TM7-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
k__Bacteria;p__Tenericutes;c__Erysipelotrichi,11,25,28,21,34,22,15,22,7,9,16,4,22,12,29,31,40,40,59,20,46,91,29,43,107,74,53,25,45,42,44,56,197,121,52,160,76,23,101,316,206,91,1172,223,264,75,124,208,93,70,137,107,158,75,96,202,169,246,245,210,185,45,145,239,90,77,97,58,101,169,209,138,157,199,292,234,309,106,265,80,213,424,140,247,254,105,95,335,413,144,161,174,217,262,294,267,133,191,112,259,132,155,169,299,329,496,97,247,115,540,284,369,200,270,233,206,211,198,198,287,201,111,177,218,148,272,358,129,128,174
