OTU ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,42,43,44,45,46,48,49,50,51,53,54,56,57,58,61,62,71,72,81,82,83,84,85,90,91,92,93,95,96,97,99,100,101,102,103,104,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,155,156,157,158,159,161,166,167,171,172,173,174,177,178,179,180,181,182,183,184,185
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__mle1-12;o__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,0,21,3,0,0,0,0,2,0,1,0,0,0,1,0,2,0,1,1,0,0,0,2,0,3,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,4,1,0,3,2,1,1,0,4,0,0,0,1,2,0,0,2,0,0,0,1,0,4,2,0,4,2,1,2,0,0,1,0,3,1,0,4,5,3,1,2,1,0,1,1,1,1,1,0,0,0,5
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,0,0,0,0,2,1,8,22,6,21,3,5,1,0,2,2,5,12,0,1,1,1,1,4,25,0,5,1,0,6,20,4,0,1,3,2,5,1,4,5,4,14,7,13,7,3,26,0,37,11,3,4,5,2,31,16,3,6,15,356,5,3,53,92,26,10,24,2,2,13,2,24,5,0,15,7,0,0,11,13,2,10,0,6,16,32,13,1,6,0,32,6,1,12,7,14,12,2,25,4,9,4,4,10,16,6,2,2,0,7,9,4,16,0,36,2,43,0,4,32,4,2,2,2,7,7,12,6,5,16
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,1,4,29,3,17,7,122,4,65,10,29,17,23,11,21,2,10,6,9,14,2,10,7,13,23,7,8,5,9,4,10,17,22,15,6,16,5,1,1,5,41,18,198,29,28,9,11,7,19,8,11,52,30,59,13,12,8,5,10,414,13,11,169,50,31,67,26,8,5,5,12,16,2,2,5,17,2,7,12,18,36,16,19,10,32,13,9,11,28,6,70,19,3,33,35,26,5,14,21,23,26,13,7,31,29,75,21,15,7,32,19,8,10,17,24,33,25,121,74,99,22,21,11,5,1,15,4,153,34,43
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,4227,4878,4101,8105,8136,3440,7276,9098,7780,7467,12494,7057,7044,6567,10831,6196,5384,7190,6011,8824,8605,9297,4957,6374,6462,6414,6598,4583,7099,5315,8742,10897,11615,12546,7246,14930,9712,7428,11032,16117,12885,11362,18946,11108,12379,4872,11847,12262,7183,6896,8253,10295,8753,9009,8699,17247,11038,10860,14718,15847,10400,7659,11112,12498,10527,9374,11041,6440,6938,9044,10627,8937,10000,11733,12723,10409,6983,5758,15154,10793,7857,14507,14805,13385,10694,12894,7718,11522,13977,6608,13076,8764,12560,12200,13123,14328,9704,12196,10690,16803,12874,12571,12422,14511,13525,13507,11001,15902,12018,16279,12079,13613,11799,12487,9025,11680,14585,14879,15102,17128,14402,7876,9183,9675,10035,19318,12407,9093,7936,12178
k__Bacteria;p__Fusobacteria;c__Fusobacteria (class);o__Fusobacteriales,0,0,1,0,0,0,0,0,1,1,2,0,1,99,32,11,0,14,48,3,0,921,10,8,21,4,1,0,14,5,1,2,4,22,1,1,0,10,2,5,0,0,6,1,34,7,6,17,3,1,45,1,0,0,0,0,0,1,0,2,0,1,0,0,0,4,0,40,0,1,0,0,0,2,1,0,0,100,6,0,28,1,46,85,13,0,0,0,3,1,19,1,3,0,190,0,1,1,0,103,1,7,120,1,1,56,3,5,0,0,40,0,0,1,2,3,1,0,0,0,44,1,7,11,0,5,0,0,1,1
k__Bacteria;p__OP10;c__CH21;o__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
